topic,characteristic,city_of_toronto
Age characteristics,Children (0-14 years),"398,135"
Age characteristics,Youth (15-24 years),"340,270"
Age characteristics,Working Age (25-54 years),"1,229,555"
Age characteristics,Pre-retirement (55-64 years),"336,670"
Age characteristics,Seniors (65+ years),"426,945"
Age characteristics,Older Seniors (85+ years),"66,000"
Age characteristics,Male: 0 to 04 years,"69,895"
Age characteristics,Male: 05 to 09 years,"69,350"
Age characteristics,Male: 10 to 14 years,"64,945"
Age characteristics,Male: 15 to 19 years,"74,240"
Age characteristics,Male: 20 to 24 years,"97,415"
Age characteristics,Male: 25 to 29 years,"113,905"
Age characteristics,Male: 30 to 34 years,"108,895"
Age characteristics,Male: 35 to 39 years,"94,070"
Age characteristics,Male: 40 to 44 years,"86,535"
Age characteristics,Male: 45 to 49 years,"90,860"
Age characteristics,Male: 50 to 54 years,"98,735"
Age characteristics,Male: 55 to 59 years,"88,145"
Age characteristics,Male: 60 to 64 years,"72,270"
Age characteristics,Male: 65 to 69 years,"60,360"
Age characteristics,Male: 70 to 74 years,"42,320"
Age characteristics,Male: 75 to 79 years,"32,730"
Age characteristics,Female: 10 to 14 years,"62,165"
Age characteristics,Male: 80 to 84 years,"25,670"
Age characteristics,Male: 85 to 89 years,"15,665"
Age characteristics,Male: 90 to 94 years,"6,185"
Age characteristics,Male: 95 to 99 years,"1,280"
Age characteristics,Male: 100 years and over,125
Age characteristics,Female: 0 to 04 years,"66,105"
Age characteristics,Female: 05 to 09 years,"65,680"
Age characteristics,Female: 15 to 19 years,"71,285"
Age characteristics,Female: 20 to 24 years,"97,330"
Age characteristics,Female: 25 to 29 years,"119,040"
Age characteristics,Female: 30 to 34 years,"115,675"
Age characteristics,Female: 35 to 39 years,"102,240"
Age characteristics,Female: 40 to 44 years,"95,860"
Age characteristics,Female: 45 to 49 years,"100,065"
Age characteristics,Female: 50 to 54 years,"103,670"
Age characteristics,Female: 55 to 59 years,"94,660"
Age characteristics,Female: 60 to 64 years,"81,600"
Age characteristics,Female: 65 to 69 years,"70,180"
Age characteristics,Female: 70 to 74 years,"51,285"
Age characteristics,Female: 75 to 79 years,"43,430"
Age characteristics,Female: 80 to 84 years,"34,965"
Age characteristics,Female: 85 to 89 years,"25,135"
Age characteristics,Female: 90 to 94 years,"13,500"
Age characteristics,Female: 95 to 99 years,"3,475"
Age characteristics,Female: 100 years and over,650
